fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,retardant_tank_float,retardant_door_open,beacon_start_stop_recording,arm_retardant_tank_door,gear_up_and_locked,flight_id
1940,TR,32:50.1,2612.11,10,P,524.13,-610.01,589.28,432.34,346.46,429.37,-242.82,23.69,-1.95,1.29,211.98,7637.11,-0.42,-4.75,1.44,-98,1,1,1,1,101
1941,TR,32:50.6,2612.64,10,V,426.41,-538.94,521.17,361.27,290.2,346.46,-275.39,112.53,-1.82,1.02,223.54,7746.48,-0.44,-4.73,1.59,-91.71,1,1,1,1,101
1942,TR,32:51.0,2613.01,10,P,491.56,-586.32,574.47,402.72,322.77,417.53,-272.43,11.84,-1.69,1.2,216.93,7637.11,-0.44,-4.73,1.5,-90.14,1,1,1,1,101
1943,TR,32:51.1,2613.11,10,V,464.91,-544.86,530.05,384.96,305,379.03,-251.7,-11.84,-1.38,1.12,184.72,7637.11,-0.44,-4.7,1.47,-91.71,1,1,1,1,101
1944,TR,32:51.3,2613.26,10,P,541.9,-627.77,615.93,438.26,352.38,456.02,-266.51,2.96,-1.7,1.32,225.74,7746.48,-0.41,-4.75,1.44,-94.85,1,1,1,1,101
1945,TR,32:51.6,2613.61,10,V,447.14,-538.94,521.17,381.99,305,373.11,-293.16,-23.69,-1.4,1.08,225.19,7719.14,-0.42,-4.7,1.29,-94.85,1,1,1,1,101
1946,TR,32:51.8,2613.76,10,P,482.68,-574.47,556.71,396.8,310.93,402.72,-302.04,-8.88,-1.55,1.2,225.74,7637.11,-0.42,-4.7,1.17,-94.85,1,1,1,1,101
1947,TR,32:51.9,2613.89,10,V,453.06,-544.86,527.09,367.19,284.28,396.8,-284.28,-17.77,-1.19,1.13,226.57,7691.8,-0.44,-4.75,1.2,-93.28,1,1,1,1,101
1948,TR,32:52.0,2614.04,10,P,500.44,-580.4,568.55,402.72,316.85,414.57,-302.04,-50.34,-1.56,1.23,228.22,7664.45,-0.41,-4.75,1.2,-94.85,1,1,1,1,101
1949,TR,32:52.3,2614.26,10,V,328.69,-396.8,373.11,266.51,201.36,263.55,-352.38,-85.87,-0.8,0.81,224.64,7691.8,-0.42,-4.6,0.99,-94.85,1,1,1,1,101
1950,TR,32:52.3,2614.34,10,P,417.53,-491.56,470.83,325.73,251.7,313.89,-296.12,-109.56,-1.27,1.03,225.19,7637.11,-0.41,-4.55,1.08,-93.28,1,1,1,1,101
1951,TR,32:52.5,2614.51,10,V,373.11,-456.02,441.22,307.96,236.9,305,-313.89,-88.84,-0.95,0.89,217.48,7719.14,-0.41,-4.62,1.02,-93.28,1,1,1,1,101
1952,TR,32:52.7,2614.66,10,P,423.45,-491.56,464.91,322.77,248.74,361.27,-328.69,-79.95,-1.06,0.99,217.21,7719.14,-0.42,-4.62,1.02,-94.85,1,1,1,1,101
1953,TR,32:52.7,2614.69,10,V,405.68,-467.87,444.18,310.93,239.86,343.5,-307.96,-103.64,-0.84,0.92,211.98,7773.83,-0.42,-4.57,1.05,-98,1,1,1,1,101
1954,TR,32:53.1,2615.14,10,P,485.64,-559.67,538.94,402.72,319.81,376.07,-281.31,14.81,-1.59,1.11,224.64,7637.11,-0.42,-4.73,1.11,-94.85,1,1,1,1,101
1955,TR,32:53.3,2615.29,10,V,370.15,-491.56,479.71,307.96,242.82,334.62,-287.24,-2.96,-0.97,0.97,216.38,7691.8,-0.41,-4.6,1.29,-93.28,1,1,1,1,101
1956,TR,32:53.5,2615.49,10,P,506.37,-592.24,571.51,414.57,334.62,414.57,-254.66,-23.69,-1.9,1.26,220.79,7691.8,-0.42,-4.88,1.32,-93.28,1,1,1,1,101
1957,TR,32:53.7,2615.71,10,V,408.65,-521.17,503.4,328.69,263.55,358.31,-319.81,41.46,-1.48,0.93,207.85,7637.11,-0.42,-4.73,1.26,-93.28,1,1,1,1,101
1958,TR,32:54.0,2615.99,10,P,464.91,-538.94,521.17,352.38,272.43,361.27,-266.51,26.65,-1.14,1.15,221.06,7691.8,-0.45,-4.83,1.14,-91.71,1,1,1,1,101
1959,TR,32:54.1,2616.14,10,V,346.46,-426.41,399.76,272.43,204.32,296.12,-293.16,-68.11,-0.89,0.85,220.24,7637.11,-0.4,-4.78,1.02,-93.28,1,1,1,1,101
1960,TR,32:54.2,2616.24,10,P,414.57,-485.64,464.91,322.77,248.74,325.73,-284.28,-76.99,-1.19,1.03,219.13,7609.77,-0.42,-4.47,1.02,-98,1,1,1,1,101
1961,TR,32:54.5,2616.54,10,V,352.38,-444.18,420.49,272.43,207.28,305,-293.16,41.46,-1.14,0.83,216.38,7637.11,-0.42,-4.73,0.87,-98,1,1,1,1,101
1962,TR,32:55.7,2617.69,10,P,426.41,-533.02,512.29,346.46,272.43,361.27,-257.62,68.11,-1.62,1.08,216.38,7746.48,-0.42,-4.68,1.02,-98,1,1,1,1,101
1963,TR,32:56.2,2618.24,10,V,352.38,-438.26,414.57,278.35,219.13,287.24,-376.07,-103.64,-0.98,0.79,184.17,7691.8,-0.41,-4.55,0.93,-93.28,1,1,1,1,101
1964,TR,32:56.5,2618.46,10,P,456.02,-533.02,506.37,364.23,293.16,381.99,-284.28,-124.37,-1.26,1.11,196.83,7664.45,-0.41,-4.73,1.08,-94.85,1,1,1,1,101
1965,TR,32:56.5,2618.51,10,V,473.79,-521.17,497.48,384.96,310.93,379.03,-281.31,-94.76,-1.07,1.02,196.01,7746.48,-0.42,-4.78,0.9,-91.71,1,1,1,1,101
1966,TR,32:56.7,2618.74,10,P,530.05,-559.67,538.94,405.68,319.81,423.45,-269.47,-103.64,-1.15,1.29,180.04,7637.11,-0.42,-4.7,1.14,-94.85,1,1,1,1,101
1967,TR,32:57.2,2619.16,10,V,414.57,-497.48,479.71,325.73,248.74,361.27,-290.2,-14.81,-1.19,0.96,199.31,7691.8,-0.44,-4.62,1.02,-93.28,1,1,1,1,101
1968,TR,32:57.4,2619.36,10,P,494.52,-580.4,559.67,408.65,331.65,399.76,-233.93,8.88,-1.54,1.18,88.62,7746.48,-0.45,-4.62,1.08,-96.42,1,1,1,1,101
1969,TR,32:57.5,2619.51,10,V,438.26,-527.09,512.29,364.23,296.12,355.34,-216.17,44.42,-1.68,1.04,164.62,7637.11,-0.41,-4.7,1.2,-93.28,1,1,1,1,101
1970,TR,32:57.7,2619.66,10,P,464.91,-568.55,550.78,376.07,302.04,396.8,-242.82,180.63,-2,1.15,180.04,7719.14,-0.42,-4.73,1.2,-91.71,1,1,1,1,101
1971,TR,32:58.4,2620.39,10,V,355.34,-450.1,432.34,278.35,225.05,278.35,-305,38.5,-1.15,0.79,194.9,7691.8,-0.41,-4.65,0.96,-94.85,1,1,1,1,101
1972,TR,32:58.8,2620.79,10,P,482.68,-538.94,512.29,376.07,296.12,390.88,-266.51,-65.15,-1.44,1.15,216.38,7691.8,-0.4,-4.8,0.9,-96.42,1,1,1,1,101
1973,TR,32:58.9,2620.94,10,V,447.14,-521.17,503.4,367.19,287.24,349.42,-275.39,-47.38,-1.38,1.03,220.79,7637.11,-0.45,-4.75,0.87,-93.28,1,1,1,1,101
1974,TR,32:59.0,2620.99,10,P,432.34,-509.33,488.6,340.54,263.55,364.23,-290.2,-44.42,-1.14,1.11,218.03,7637.11,-0.45,-4.75,0.87,-93.28,1,1,1,1,101
1975,TR,32:59.3,2621.31,10,V,346.46,-408.65,393.84,272.43,216.17,257.62,-331.65,-201.36,-0.42,0.77,197.93,7664.45,-0.42,-4.55,0.78,-93.28,1,1,1,1,101
1976,TR,32:59.5,2621.51,10,P,402.72,-444.18,429.37,313.89,242.82,307.96,-319.81,-272.43,-0.44,0.95,216.93,7719.14,-0.44,-4.62,0.72,-91.71,1,1,1,1,101
1977,TR,32:59.7,2621.69,10,V,328.69,-408.65,390.88,245.78,189.52,284.28,-358.31,-142.14,-0.52,0.76,210.6,7719.14,-0.44,-4.65,0.69,-94.85,1,1,1,1,101
1978,TR,33:00.2,2622.21,10,P,488.6,-556.71,538.94,384.96,302.04,435.3,-245.78,0,-1.53,1.26,221.61,7664.45,-0.44,-4.85,1.08,-94.85,1,1,1,1,101
1979,TR,33:01.0,2622.96,10,V,411.61,-521.17,506.37,331.65,263.55,346.46,-275.39,94.76,-1.61,0.93,200.96,7637.11,-0.41,-4.78,1.38,-93.28,1,1,1,1,101
1980,TR,33:01.1,2623.11,10,P,432.34,-527.09,515.25,346.46,287.24,355.34,-302.04,65.15,-1.61,1.02,190.5,7637.11,-0.42,-4.73,1.41,-94.85,1,1,1,1,101
1981,TR,33:01.7,2623.66,10,V,384.96,-464.91,447.14,313.89,254.66,313.89,-260.59,32.57,-1.55,0.89,105.14,7719.14,-0.42,-4.75,1.35,-94.85,1,1,1,1,101
1982,TR,33:01.9,2623.89,10,P,506.37,-574.47,550.78,411.61,343.5,405.68,-278.35,17.77,-1.69,1.11,95.5,7691.8,-0.42,-4.8,1.53,-93.28,1,1,1,1,101
1983,PE,33:02.2,2624.18,,,402.72,-491.56,476.75,319.81,251.7,319.81,-266.51,5.92,-1.37,0.93,66.59,7664.45,-0.44,-4.65,1.26,-90.14,1,1,1,1,101
1984,TR,33:02.2,2624.21,10,V,355.34,-444.18,429.37,293.16,236.9,305,-307.96,14.81,-1.2,0.81,74.3,7637.11,-0.42,-4.65,1.23,-98,1,1,1,1,101
1985,TR,33:02.4,2624.36,10,P,450.1,-503.4,488.6,358.31,287.24,361.27,-272.43,-41.46,-1.34,0.99,20.61,7719.14,-0.42,-4.65,1.29,-91.71,1,1,1,1,101
1986,TR,33:02.4,2624.44,10,V,376.07,-485.64,461.95,310.93,251.7,334.62,-260.59,11.84,-1.27,0.85,59.16,7746.48,-0.42,-4.7,1.32,-99.57,1,1,1,1,101
1987,TR,33:02.6,2624.64,10,P,423.45,-491.56,473.79,337.58,272.43,334.62,-248.74,-38.5,-1.37,0.98,168.2,7773.83,-0.42,-4.8,1.41,-93.28,1,1,1,1,101
1988,TR,33:02.7,2624.71,10,V,393.84,-464.91,453.06,325.73,260.59,322.77,-313.89,-97.72,-0.78,0.87,195.18,7637.11,-0.42,-4.75,1.44,-90.14,1,1,1,1,101
1989,TR,33:02.9,2624.91,10,P,500.44,-544.86,524.13,384.96,307.96,411.61,-225.05,-29.61,-1.33,1.19,187.75,7691.8,-0.45,-4.75,1.68,-96.42,1,1,1,1,101
1990,TR,33:03.2,2625.21,10,V,429.37,-533.02,506.37,352.38,290.2,379.03,-290.2,41.46,-1.4,0.99,112.3,7746.48,-0.44,-4.85,1.89,-96.42,1,1,1,1,101
1991,TR,33:03.4,2625.41,10,P,450.1,-568.55,550.78,370.15,305,396.8,-213.21,97.72,-1.85,1.1,131.57,7664.45,-0.42,-4.85,2.13,-91.71,1,1,1,1,101
1992,TR,33:03.5,2625.49,10,V,432.34,-521.17,500.44,364.23,305,337.58,-299.08,59.22,-1.46,0.98,92.2,7691.8,-0.41,-4.85,2.31,-94.85,1,1,1,1,101
1993,TR,33:03.6,2625.64,10,P,500.44,-586.32,562.63,411.61,340.54,405.68,-248.74,47.38,-1.81,1.21,163.51,7719.14,-0.41,-4.85,2.58,-96.42,1,1,1,1,101
1994,TR,33:04.9,2626.89,10,V,334.62,-414.57,402.72,281.31,225.05,263.55,-322.77,-127.33,-0.38,0.76,156.91,7691.8,-0.42,-4.75,2.4,-90.14,1,1,1,1,101
1995,TR,33:05.3,2627.29,10,P,473.79,-518.21,500.44,390.88,313.89,367.19,-248.74,-76.99,-1.06,1.15,113.13,7746.48,-0.42,-4.78,2.28,-98,1,1,1,1,101
1996,TR,33:05.7,2627.66,10,V,390.88,-467.87,453.06,302.04,239.86,334.62,-272.43,-26.65,-0.95,0.92,103.49,7719.14,-0.41,-4.78,2.19,-94.85,1,1,1,1,101
1997,TR,33:06.0,2627.96,10,P,396.8,-515.25,491.56,322.77,257.62,328.69,-245.78,41.46,-1.35,1.02,51.72,7746.48,-0.44,-4.83,2.19,-93.28,1,1,1,1,101
1998,TR,33:06.4,2628.36,10,V,322.77,-444.18,426.41,272.43,225.05,284.28,-278.35,-2.96,-0.96,0.79,37.96,7746.48,-0.42,-4.85,2.13,-93.28,1,1,1,1,101
1999,TR,33:06.4,2628.44,10,P,387.92,-503.4,482.68,307.96,245.78,316.85,-222.09,106.6,-1.66,0.9,93.03,7691.8,-0.42,-4.75,2.13,-91.71,1,1,1,1,101
2000,TR,33:06.6,2628.61,10,V,337.58,-438.26,414.57,281.31,225.05,245.78,-263.55,-5.92,-1.03,0.76,103.21,7691.8,-0.42,-4.78,1.95,-96.42,1,1,1,1,101
2001,TR,33:06.7,2628.71,10,P,358.31,-491.56,467.87,290.2,236.9,340.54,-251.7,88.84,-1.61,0.87,154.98,7746.48,-0.44,-4.8,1.95,-91.71,1,1,1,1,101
2002,TR,33:06.8,2628.76,10,V,361.27,-450.1,426.41,299.08,245.78,263.55,-325.73,130.29,-1.45,0.72,54.75,7773.83,-0.42,-4.88,1.92,-99.57,1,1,1,1,101
2003,TR,33:07.0,2628.99,10,P,426.41,-515.25,494.52,367.19,296.12,290.2,-254.66,14.81,-1.76,0.97,17.03,7746.48,-0.41,-4.91,1.68,-93.28,1,1,1,1,101
2004,TR,33:07.1,2629.11,10,V,420.49,-509.33,485.64,358.31,299.08,355.34,-233.93,-11.84,-1.32,0.89,115.33,7746.48,-0.44,-4.83,1.53,-93.28,1,1,1,1,101
2005,TR,33:07.3,2629.34,10,P,453.06,-544.86,521.17,355.34,281.31,384.96,-233.93,121.41,-1.47,1.1,114.23,7746.48,-0.44,-4.91,1.41,-94.85,1,1,1,1,101
2006,TR,33:07.5,2629.49,10,V,384.96,-491.56,473.79,322.77,260.59,340.54,-236.9,41.46,-1.33,0.93,106.52,7691.8,-0.44,-4.91,1.35,-91.71,1,1,1,1,101
2007,TR,33:07.9,2629.89,10,P,467.87,-562.63,538.94,379.03,302.04,396.8,-210.25,56.26,-1.62,1.15,107.62,7719.14,-0.41,-4.85,1.29,-94.85,1,1,1,1,101
2008,TR,33:08.2,2630.19,10,V,458.99,-533.02,512.29,384.96,313.89,384.96,-248.74,11.84,-1.38,1.05,18.41,7746.48,-0.42,-4.8,1.23,-91.71,1,1,1,1,101
2009,TR,33:08.2,2630.24,10,P,464.91,-547.82,527.09,390.88,319.81,379.03,-213.21,23.69,-1.56,1.13,24.74,7691.8,-0.41,-4.73,1.2,-98,1,1,1,1,101
2010,TR,33:08.5,2630.46,10,V,441.22,-521.17,503.4,367.19,296.12,364.23,-248.74,-11.84,-1.39,1.02,60.26,7746.48,-0.41,-4.75,1.26,-93.28,1,1,1,1,101
2011,TR,33:08.5,2630.51,10,P,441.22,-538.94,524.13,373.11,302.04,367.19,-248.74,-17.77,-1.49,1.1,31.35,7637.11,-0.44,-4.73,1.23,-90.14,1,1,1,1,101
2012,TR,33:08.6,2630.64,10,V,420.49,-497.48,476.75,352.38,287.24,337.58,-269.47,-44.42,-1.17,0.95,15.38,7746.48,-0.42,-4.7,1.26,-96.42,1,1,1,1,101
2013,TR,33:08.9,2630.86,10,P,479.71,-533.02,524.13,402.72,325.73,379.03,-254.66,-82.91,-1.36,1.15,68.8,7691.8,-0.42,-4.7,1.26,-98,1,1,1,1,101
2014,TR,33:09.3,2631.26,10,V,334.62,-396.8,379.03,269.47,213.21,251.7,-269.47,-133.25,-0.73,0.73,12.9,7664.45,-0.41,-4.65,1.32,-93.28,1,1,1,1,101
2015,TR,33:09.8,2631.84,10,P,470.83,-544.86,524.13,384.96,313.89,379.03,-195.44,-20.73,-1.31,1.1,14.28,7719.14,-0.42,-4.65,1.53,-93.28,1,1,1,1,101
2016,TR,33:10.1,2632.11,10,V,367.19,-473.79,450.1,299.08,242.82,302.04,-313.89,8.88,-1.3,0.79,66.59,7637.11,-0.42,-4.65,1.41,-91.71,1,1,1,1,101
2017,TR,33:10.2,2632.16,10,P,379.03,-456.02,438.26,299.08,239.86,302.04,-278.35,0,-1.06,0.89,79.81,7637.11,-0.42,-4.55,1.35,-90.14,1,1,1,1,101
2018,TR,33:10.2,2632.21,10,V,352.38,-420.49,402.72,287.24,233.93,275.39,-272.43,-74.03,-0.96,0.77,58.33,7691.8,-0.45,-4.55,1.35,-94.85,1,1,1,1,101
2019,TR,33:10.5,2632.54,10,P,408.65,-485.64,461.95,334.62,260.59,334.62,-275.39,-62.19,-1.23,0.99,44.56,7719.14,-0.42,-4.7,1.32,-94.85,1,1,1,1,101
2020,TR,33:11.3,2633.29,10,V,334.62,-444.18,417.53,263.55,213.21,293.16,-242.82,26.65,-1.1,0.79,22.81,7719.14,-0.41,-4.65,1.38,-94.85,1,1,1,1,101
2021,TR,33:11.5,2633.46,10,P,453.06,-547.82,527.09,364.23,290.2,361.27,-210.25,50.34,-1.61,1.07,18.68,7719.14,-0.42,-4.65,1.35,-96.42,1,1,1,1,101
2022,TR,33:11.7,2633.69,10,V,331.65,-432.34,414.57,269.47,213.21,278.35,-263.55,47.38,-1.14,0.73,24.74,7691.8,-0.42,-4.75,1.23,-93.28,1,1,1,1,101
2023,TR,33:12.6,2634.61,10,P,473.79,-550.78,530.05,381.99,302.04,399.76,-222.09,32.57,-1.72,1.18,12.35,7664.45,-0.42,-4.88,1.17,-96.42,1,1,1,1,101
2024,TR,33:14.3,2636.34,10,V,361.27,-444.18,423.45,287.24,230.97,293.16,-260.59,-44.42,-1.04,0.85,30.52,7746.48,-0.41,-4.68,1.11,-93.28,1,1,1,1,101
2025,TR,33:14.5,2636.49,10,P,402.72,-491.56,467.87,328.69,263.55,331.65,-254.66,-26.65,-1.23,0.94,17.03,7719.14,-0.45,-4.7,1.23,-93.28,1,1,1,1,101
2026,TR,33:14.7,2636.69,10,V,313.89,-408.65,390.88,263.55,207.28,248.74,-251.7,-2.96,-1.16,0.74,52.55,7746.48,-0.42,-4.57,1.08,-93.28,1,1,1,1,101
2027,TR,33:15.6,2637.56,10,P,453.06,-553.74,524.13,376.07,307.96,381.99,-225.05,17.77,-1.55,1.1,11.8,7691.8,-0.44,-4.91,1.5,-93.28,1,1,1,1,101
2028,TR,33:15.8,2637.84,10,V,305,-384.96,358.31,230.97,180.63,254.66,-302.04,-103.64,-0.33,0.73,10.42,7664.45,-0.44,-4.73,1.56,-94.85,1,1,1,1,101
2029,TR,33:16.5,2638.51,10,P,512.29,-595.2,577.43,423.45,346.46,405.68,-248.74,2.96,-1.7,1.15,45.94,7719.14,-0.44,-4.93,1.38,-93.28,1,1,1,1,101
2030,TR,33:17.1,2639.09,10,V,381.99,-485.64,464.91,322.77,257.62,322.77,-245.78,44.42,-1.31,0.91,21.44,7773.83,-0.44,-4.93,1.41,-94.85,1,1,1,1,101
2031,PE,33:17.2,2639.18,,,393.84,-500.44,488.6,322.77,263.55,337.58,-245.78,41.46,-1.38,0.94,24.19,7719.14,-0.45,-4.88,1.44,-93.28,1,1,1,1,101
2032,TR,33:17.5,2639.46,10,P,491.56,-556.71,533.02,399.76,328.69,390.88,-219.13,-14.81,-1.68,1.17,19.78,7719.14,-0.41,-5.01,1.47,-90.14,1,1,1,1,101
2033,TR,33:17.9,2639.94,10,V,447.14,-524.13,503.4,367.19,296.12,358.31,-272.43,-17.77,-1.27,0.99,13.45,7609.77,-0.41,-5.16,1.35,-98,1,1,1,1,101
2034,TR,33:18.8,2640.84,10,P,458.99,-538.94,521.17,379.03,299.08,384.96,-242.82,-17.77,-1.54,1.11,51.17,7691.8,-0.44,-5.03,1.38,-93.28,1,1,1,1,101
2035,TR,33:19.8,2641.84,10,V,405.68,-491.56,470.83,334.62,272.43,340.54,-281.31,-26.65,-1.14,0.89,13.45,7719.14,-0.41,-4.96,1.02,-94.85,1,1,1,1,101
2036,TR,33:20.1,2642.09,10,P,429.37,-521.17,500.44,361.27,287.24,364.23,-242.82,-5.92,-1.37,1.06,23.09,7664.45,-0.45,-4.88,1.02,-94.85,1,1,1,1,101
2037,TR,33:20.2,2642.24,10,V,405.68,-485.64,467.87,340.54,278.35,310.93,-242.82,14.81,-1.38,0.93,13.73,7719.14,-0.41,-4.93,1.02,-94.85,1,1,1,1,101
2038,TR,33:20.4,2642.36,10,P,426.41,-521.17,503.4,346.46,275.39,358.31,-225.05,8.88,-1.24,1.06,11.8,7637.11,-0.42,-4.83,0.93,-91.71,1,1,1,1,101
2039,TR,33:20.5,2642.49,10,V,376.07,-464.91,444.18,319.81,248.74,302.04,-272.43,-8.88,-1.28,0.87,21.44,7691.8,-0.42,-4.98,0.93,-93.28,1,1,1,1,101
2040,TR,33:20.6,2642.64,10,P,405.68,-479.71,458.99,313.89,248.74,331.65,-230.97,-53.3,-0.84,1.02,4.91,7637.11,-0.44,-4.85,0.93,-93.28,1,1,1,1,101
2041,TR,33:20.8,2642.76,10,V,319.81,-396.8,376.07,263.55,219.13,251.7,-352.38,-106.6,-0.54,0.67,12.9,7637.11,-0.41,-5.06,0.96,-93.28,1,1,1,1,101
2042,TR,33:20.8,2642.81,10,P,307.96,-379.03,361.27,230.97,174.71,242.82,-281.31,-118.45,-0.51,0.77,14.28,7609.77,-0.44,-4.8,0.81,-96.42,1,1,1,1,101
2043,TR,33:21.0,2643.01,10,V,316.85,-396.8,373.11,260.59,204.32,245.78,-296.12,-94.76,-0.6,0.69,15.38,7637.11,-0.45,-4.91,0.93,-98,1,1,1,1,101
2044,TR,33:21.4,2643.36,10,P,509.33,-547.82,515.25,411.61,337.58,387.92,-174.71,65.15,-1.85,1.15,11.8,7637.11,-0.44,-4.98,1.05,-93.28,1,1,1,1,101
2045,TR,33:21.5,2643.49,10,V,429.37,-538.94,521.17,340.54,278.35,408.65,-260.59,23.69,-1.33,1.01,14.28,7637.11,-0.42,-5.08,1.11,-93.28,1,1,1,1,101
2046,TR,33:21.5,2643.54,10,P,426.41,-509.33,491.56,355.34,290.2,370.15,-145.1,124.37,-1.46,1.1,13.18,7637.11,-0.42,-4.85,1.11,-94.85,1,1,1,1,101
2047,TR,33:21.6,2643.59,10,V,432.34,-544.86,524.13,358.31,293.16,346.46,-225.05,127.33,-1.67,0.98,13.73,7637.11,-0.41,-4.96,1.08,-94.85,1,1,1,1,101
2048,TR,33:21.8,2643.84,10,P,435.3,-544.86,518.21,343.5,278.35,402.72,-189.52,94.76,-1.63,1.1,15.38,7691.8,-0.44,-5.01,1.08,-91.71,1,1,1,1,101
2049,TR,33:22.0,2643.96,10,V,364.23,-473.79,453.06,302.04,251.7,275.39,-242.82,71.07,-1.5,0.81,13.45,7637.11,-0.42,-4.98,0.84,-93.28,1,1,1,1,101
2050,TR,33:22.2,2644.19,10,P,515.25,-592.24,568.55,402.72,325.73,420.49,-272.43,139.18,-2.03,1.15,13.18,7691.8,-0.41,-5.03,0.93,-94.85,1,1,1,1,101
2051,TR,33:22.3,2644.31,10,V,376.07,-503.4,479.71,340.54,287.24,284.28,-230.97,91.8,-1.94,0.85,13.18,7637.11,-0.44,-5.06,0.93,-93.28,1,1,1,1,101
2052,TR,33:22.5,2644.54,10,P,500.44,-615.93,598.16,402.72,328.69,396.8,-233.93,71.07,-1.67,1.26,38.23,7637.11,-0.41,-5.06,1.17,-94.85,1,1,1,1,101
2053,TR,33:22.7,2644.66,10,V,408.65,-456.02,435.3,334.62,260.59,340.54,-245.78,-23.69,-1.11,1.02,13.45,7746.48,-0.42,-5.16,1.11,-93.28,1,1,1,1,101
2054,TR,33:22.8,2644.76,10,P,530.05,-604.08,586.32,447.14,364.23,393.84,-225.05,-20.73,-1.89,1.22,18.13,7609.77,-0.45,-5.11,1.14,-93.28,1,1,1,1,101
2055,TR,33:23.1,2645.06,10,V,420.49,-438.26,411.61,334.62,263.55,334.62,-272.43,-112.53,-0.98,0.9,14,7609.77,-0.45,-5.06,0.9,-93.28,1,1,1,1,101
2056,TR,33:23.3,2645.26,10,P,429.37,-461.95,438.26,328.69,263.55,334.62,-251.7,-112.53,-1.03,1.02,13.45,7609.77,-0.41,-5.03,0.93,-93.28,1,1,1,1,101
2057,TR,33:23.3,2645.29,10,V,435.3,-464.91,450.1,358.31,287.24,299.08,-281.31,-139.18,-0.86,0.93,13.45,7609.77,-0.42,-5.06,0.84,-93.28,1,1,1,1,101
2058,TR,33:23.7,2645.71,10,P,580.4,-615.93,604.08,467.87,373.11,479.71,-251.7,-56.26,-1.34,1.42,69.35,7609.77,-0.42,-5.37,1.11,-96.42,1,1,1,1,101
2059,TR,33:23.8,2645.76,10,V,541.9,-595.2,574.47,458.99,373.11,467.87,-230.97,-142.14,-1.17,1.28,93.03,7637.11,-0.44,-5.29,1.17,-96.42,1,1,1,1,101
2060,TR,33:23.8,2645.81,10,P,559.67,-618.89,601.12,470.83,387.92,461.95,-245.78,-41.46,-1.78,1.4,187.47,7637.11,-0.41,-5.29,1.14,-94.85,1,1,1,1,101
2061,TR,33:24.0,2646.01,10,V,515.25,-607.05,589.28,420.49,328.69,423.45,-269.47,56.26,-2,1.26,189.95,7609.77,-0.44,-5.37,1.2,-90.14,1,1,1,1,101
2062,TR,33:24.1,2646.14,10,P,541.9,-627.77,615.93,420.49,322.77,494.52,-239.86,127.33,-1.88,1.35,206.47,7609.77,-0.42,-5.24,1.17,-93.28,1,1,1,1,101
2063,TR,33:24.9,2646.89,10,V,346.46,-444.18,420.49,284.28,225.05,278.35,-275.39,-17.77,-1.3,0.84,207.57,7637.11,-0.44,-5.01,0.96,-98,1,1,1,1,101
2064,TR,33:25.0,2647.01,10,P,405.68,-491.56,467.87,313.89,242.82,343.5,-272.43,-68.11,-1.13,0.99,154.7,7555.08,-0.45,-4.98,0.81,-93.28,1,1,1,1,101
2065,TR,33:25.2,2647.24,10,V,364.23,-432.34,411.61,287.24,216.17,287.24,-287.24,-50.34,-1.18,0.87,147.82,7555.08,-0.44,-4.96,0.6,-96.42,1,1,1,1,101
2066,TR,33:25.5,2647.46,10,P,432.34,-524.13,503.4,337.58,260.59,355.34,-313.89,-88.84,-1.1,1.05,182.79,7609.77,-0.42,-4.91,0.6,-91.71,1,1,1,1,101
2067,TR,33:25.9,2647.91,10,V,358.31,-408.65,396.8,272.43,207.28,305,-290.2,-159.9,-0.63,0.87,140.39,7500.39,-0.42,-4.75,0.63,-98,1,1,1,1,101
2068,TR,33:26.4,2648.44,10,P,453.06,-538.94,515.25,343.5,269.47,396.8,-233.93,-23.69,-1.23,1.14,190.5,7582.42,-0.41,-4.98,0.81,-94.85,1,1,1,1,101
2069,TR,33:27.1,2649.09,10,V,316.85,-450.1,429.37,260.59,204.32,260.59,-230.97,103.64,-1.32,0.79,117.53,7582.42,-0.45,-4.73,0.6,-93.28,1,1,1,1,101
2070,TR,33:27.3,2649.31,10,P,464.91,-565.59,544.86,370.15,299.08,393.84,-216.17,65.15,-1.71,1.16,150.3,7609.77,-0.42,-4.93,0.69,-93.28,1,1,1,1,101
2071,TR,33:27.6,2649.64,10,V,376.07,-479.71,456.02,310.93,251.7,290.2,-302.04,41.46,-1.5,0.8,151.67,7527.73,-0.42,-4.85,0.66,-93.28,1,1,1,1,101
2072,TR,33:28.1,2650.14,10,P,506.37,-592.24,577.43,414.57,346.46,417.53,-233.93,65.15,-1.99,1.2,184.44,7500.39,-0.42,-4.98,0.9,-93.28,1,1,1,1,101
2073,TR,33:28.2,2650.24,10,V,376.07,-464.91,456.02,310.93,251.7,307.96,-322.77,-2.96,-0.84,0.89,192.7,7555.08,-0.42,-5.14,0.99,-94.85,1,1,1,1,101
2074,TR,33:28.6,2650.56,10,P,535.98,-639.62,618.89,426.41,355.34,441.22,-290.2,-23.69,-1.54,1.29,160.76,7527.73,-0.42,-5.29,1.35,-93.28,1,1,1,1,101
